"","Animal ID","SampleNumber","SetName","SampleType","replicate","Species","Collection Date","SampleWt","Dry_wt Format","Lipid format","CB103 Recovery Format","HCB Conc Format","aHCH Conc Format","bHCH Conc Format","lindane Conc Format","achlor Conc Format","cnona Conc Format","bchlor Conc Format","hept Conc Format","HPE Conc Format","nona3 Conc Format","oxychlor Conc Format","tnona Conc Format","aldrin Conc Format","diel Conc Format","mirex Conc Format","eslf1 Conc Format","cb17 Conc Format","cb18 Conc Format","cb28 Conc Format","cb31 Conc Format","cb33 Conc Format","cb44 Conc Format","cb49 Conc Format","cb52 Conc Format","cb66 Conc Format","cb70 Conc Format","cb74 Conc Format","cb82 Conc Format","cb87 Conc Format","cb95 Conc Format","cb99 Conc Format","cb101 Conc Format","cb105 Conc Format","cb110 Conc Format","cb118 Conc Format","cb128 Conc Format","cb138 Conc Format","cb149 Conc Format","cb151 Conc Format","cb153 Conc Format","cb156 Conc Format","cb158 Conc Format","cb170 Conc Format","cb171 Conc Format","cb177 Conc Format","cb180 Conc Format","cb183 Conc Format","cb187 Conc Format","cb191 Conc Format","cb194 Conc Format","cb195 Conc Format","cb199 Conc Format","cb205 Conc Format","cb206 Conc Format","cb208 Conc Format","cb209 Conc Format","opDDD Conc Format","opdde Conc Format","opDDT Conc Format","ppDDD Conc Format","ppDDE Conc Format","ppDDT Conc Format","Sum CHLDs Conc Format","Sum DDTs Conc Format","Sum HCHs Conc Format","Sum40CBs Conc Format","Total PCBs Conc Format","BDE28 conc format","BDE47 conc format","BDE49 conc format","BDE66 conc format","BDE85 conc format","BDE99 conc format","BDE100 conc format","Br5DE04 conc format","Br5DE05 conc format","BDE153 conc format","BDE154 conc format","Br6DE01 conc format","BDE155 conc format","BDE183 conc format","Br7DE01 conc format","SumBDE conc format","SampleFlag","SampleNote","Task_number","LabStartDate","InstDateCH","NOAA_Set Name","NOAA_SampleNumber","NOAA_Sample Category","NOAA_Sample Type","NOAA_replicate","NOAA_Species Common name","NOAA_Date collected","NOAA_Sample Weight SI","NOAA_Weight % C MS","NOAA_Weight % N MS","NOAA_C_N_RatioMS","NOAA_delta 13C_LipExt","NOAA_delta 15N_LipExt","NOAA_Sample Flag","NOAA_Note","UW_IsoLab ID","UW_Analysis Date","UW_Project","UW_Analysis #","UW_Amount (mg)","UW_Comments","UW_PeakArea N (Vs)","UW_Percent N","UW_Percent N Accuracy","UW_Percent N Precision","UW_Delta N_NotExt","UW_d15N Accuracy","UW_d15N Precision","UW_PeakArea C (Vs)","UW_Percent C","UW_Percent C Accuracy","UW_Percent C Precision","UW_Delta C_NotExt","UW_d13C Accuracy","UW_d13C Precision"
"72","16MA7-TM4443A","119-3843","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-12-02,2.01,25.1132989529614,4.88628564116285,100,"1.1000000000000001","0.19","0.25","< 0.19","0.27","0.2","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.6","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.4","0.45","0.43","0.28000000000000003","0.26","0.25","0.47","0.28000000000000003","0.4","0.19","< 0.19","0.26","0.49","0.66","1","0.34","0.73","0.77","0.24","1.7","0.88","0.27","2.1","< 0.19","< 0.19","0.24","< 0.19","0.22","0.56000000000000005","0.24","0.76","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.49","4.0999999999999996","< 0.19","1.1000000000000001","4.5999999999999996","0.43","15","20","< 0.19","1.9","0.27","< 0.19","< 0.19","0.73","0.48","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","3.3",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,20170426,"2016 Blackmouth",86289,0.593,NA,179.186,11.6452,-0.23631,0.15834,15.5702,-0.096809,0.068339,147.56,53.5286,-0.15142,0.76321,-19.4816,0.011031,0.0231
"73","16MA7-TM4444A","119-3844","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-12-02,2.016,25.0129288053783,5.66239748692004,107,"0.77","0.22","0.24","< 0.20","0.23","0.21","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","0.61","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","0.46","0.62","0.57999999999999996","0.36","0.35","0.28999999999999998","0.53","0.36","0.48","0.24","< 0.20","0.36","0.63","0.8","1.2","0.41","0.95","0.96","0.36","2","1","0.34","2.4","< 0.20","< 0.20","0.25","< 0.20","0.25","0.62","0.27","0.84","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","0.47","4.5999999999999996","0.2","1.1000000000000001","5.2","0.46","18","23","< 0.20","3","0.38","< 0.20","< 0.20","1.3","0.68","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","5.3",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,20170426,"2016 Blackmouth",86290,0.503,NA,151.031,11.5686,-0.23631,0.15834,15.5119,-0.096809,0.068339,125.97,53.9445,-0.15142,0.76321,-18.9158,0.011031,0.0231
"75","16MA7-TM4446A","119-3845","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-12-02,2.01,29.349967170059,7.99702469139913,107,"1.6","0.28000000000000003","0.42","< 0.19","0.37","0.2","< 0.18","< 0.19","< 0.19","< 0.19","< 0.19","0.64","< 0.19","< 0.18","< 0.19","< 0.19","< 0.18","0.42","0.56000000000000005","0.53","0.32","0.3","0.27","0.52","0.31","0.43","0.21","< 0.18","0.28999999999999998","0.6","0.74","1.1000000000000001","0.37","0.91","0.82","0.32","1.9","1.1000000000000001","0.31","2.2000000000000002","< 0.19","< 0.19","0.26","< 0.19","0.25","0.59","0.26","0.83","< 0.19","0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.56999999999999995","5","0.19","1.2","5.7","0.7","17","22","< 0.18","2","0.44","< 0.19","< 0.19","0.74","0.48","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","3.6",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,20170426,"2016 Blackmouth",86291,0.646,NA,183.36,10.9391,-0.23631,0.15834,15.2997,-0.096809,0.068339,167.108,55.596,-0.15142,0.76321,-19.1866,0.011031,0.0231
"158",NA,"119-3846","PS3491","SRM 1947",NA,NA,NA,1.024,27.1710828610813,10.1588723115195,108,"6.6","1.1000000000000001","< 0.31","< 0.31","43","63","12","< 0.30","14","9.3000000000000007","24","120","< 0.30","71","4.9000000000000004","< 0.31","0.79","3.3","14","13","1.1000000000000001","21","27","37","69","57","33","3.3","30","34","75","91","55","92","99","41","190","70","19","200","16","14","35","11","25","81","28","70","1.6","15","5.0999999999999996","19","0.98","7.8","3.3","2.6","4.5999999999999996","4.2","19","37","680","58","280","800","1.1000000000000001","1600","2000","3.2","84","8.1999999999999993","3.4","< 0.31","36","23","0.32","0.45","5.4","8","< 0.31","0.95","< 0.31","< 0.31","170",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",NA,"119-3847","PS3491","Method Blank",NA,NA,NA,2.0157,NA,0,95,"< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.23","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.28999999999999998","0.24","< 0.22","0.3","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< LOQ","< LOQ","< LOQ","1.1000000000000001","1.1000000000000001","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< LOQ",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","16MA7-TM4449A","119-3850","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-12-02,2.011,34.16625837008,14.4283914330155,99,"1.8","0.56000000000000005","0.69","< 0.28","0.43","0.38","< 0.28","< 0.28","< 0.28","< 0.28","< 0.28","0.97","< 0.28","0.68","< 0.28","< 0.28","< 0.28","0.56999999999999995","0.69","0.7","0.42","0.5","0.48","0.91","0.51","0.7","0.36","< 0.28","0.54","1","1.2","1.9","0.55000000000000004","1.4","1.4","0.65","3","1.6","0.51","3.7","< 0.28","< 0.28","0.44","< 0.29","0.4","1.1000000000000001","0.5","1.6","< 0.29","< 0.28","< 0.28","< 0.29","< 0.28","< 0.28","< 0.28","< 0.28","< 0.28","< 0.29","< 0.28","0.84","7.8","0.33","1.8","9","1.2","27","36","< 0.30","5.4","0.79","< 0.30","< 0.30","1.3","1","< 0.30","< 0.30","< 0.30","< 0.30","< 0.30","< 0.30","< 0.30","< 0.30","8.4",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,20170426,"2016 Blackmouth",86293,0.637,NA,142.168,8.5981,-0.23631,0.15834,15.7458,-0.096809,0.068339,179.529,60.5436,-0.15142,0.76321,-20.4182,0.011031,0.0231
"79","16MA7-TM4450A","119-3851","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-12-02,2.001,33.8473282442748,13.9688351116508,103,"1.4","0.54","0.68","< 0.22","0.31","0.28999999999999998","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.7","< 0.22","0.69","< 0.22","< 0.22","< 0.22","0.51","0.7","0.73","0.41","0.46","0.4","0.79","0.44","0.64","0.32","< 0.22","0.47","0.85","1","1.7","0.49","1.3","1.2","0.53","2.5","1.3","0.43","2.9","< 0.22","< 0.22","0.36","< 0.22","0.33","0.86","0.41","1.3","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.67","5.8","0.25","1.3","6.7","1.2","23","30","< 0.23","4.3","0.57999999999999996","< 0.24","< 0.23","1","0.83","< 0.23","< 0.23","< 0.23","< 0.23","< 0.23","< 0.24","< 0.24","< 0.24","6.7",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,"ST3507","130-24903A","Fish","Tissue - muscle",NA,"Chinook salmon",2016-12-02,0.234999999999999,47.61530213342,13.7753943445673,3.45654730038259,-16.6283365784154,15.6897615199062,NA,NA,330,20170426,"2016 Blackmouth",86294,0.555,NA,119.128,8.2663,-0.23631,0.15834,15.8357,-0.096809,0.068339,158.345,61.3415,-0.15142,0.76321,-20.4637,0.011031,0.0231
"86","16MA7-TM9813A","119-3852","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-02-20,2.004,32.2354043084608,11.7804206138365,107,"2.2000000000000002","0.42","0.57999999999999996","< 0.18","0.78","0.56999999999999995","< 0.18","< 0.18","0.22","< 0.18","0.26","1.4","< 0.18","0.84","< 0.18","< 0.18","0.19","0.5","0.7","0.78","0.39","0.56999999999999995","0.56999999999999995","1.1000000000000001","0.64","0.85","0.44","< 0.18","0.68","1.4","1.8","2.8","0.79","2.1","1.9","0.97","4.5","2.6","0.83","5.6","0.28999999999999998","0.31","0.66","0.27","0.7","1.7","0.84","2.6","< 0.18","0.23","< 0.18","0.25","< 0.18","< 0.18","< 0.18","< 0.18","0.22","< 0.18","< 0.18","1.4","12","0.46","3.2","14","1","41","52","< 0.19","7.4","1.3","< 0.20","< 0.19","3.8","1.7","< 0.19","< 0.19","0.38","0.42","< 0.20","< 0.20","< 0.20","< 0.20","15",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,20170426,"2016 Blackmouth",86302,0.622,NA,148.602,9.2046,-0.23631,0.15834,15.7849,-0.096809,0.068339,173.565,59.957,-0.15142,0.76321,-19.3937,0.011031,0.0231
"87","16MA81-TM4436A","119-3853","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-11-05,2.009,28.9390200916461,8.97757431999601,105,"0.93","0.33","0.38","< 0.24","0.3","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","0.5","< 0.24","0.51","< 0.24","< 0.24","< 0.24","0.45","0.56999999999999995","0.56999999999999995","0.32","0.43","0.48","0.89","0.37","0.55000000000000004","0.27","< 0.24","0.46","1.1000000000000001","1.1000000000000001","1.8","0.4","1.5","1.1000000000000001","0.56999999999999995","2.4","1.6","0.49","3.1","< 0.24","< 0.24","0.34","< 0.25","0.38","0.92","0.49","1.5","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","0.54","3.7","< 0.24","0.8","4.2","0.71","24","31","< 0.26","2.7","0.49","< 0.26","< 0.26","0.68","0.43","< 0.26","< 0.26","< 0.26","< 0.26","< 0.26","< 0.26","< 0.26","< 0.26","4.3",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,20170426,"2016 Blackmouth",86303,0.532,NA,158.588,11.4862,-0.23631,0.15834,15.1693,-0.096809,0.068339,161.763,65.3649,-0.15142,0.76321,-19.6028,0.011031,0.0231
"88","16MA81-TM4439A","119-3854","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-11-05,2.007,29.794356767097,9.33751903656548,104,"0.96","0.31","0.39","< 0.22","0.33","0.3","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.61","< 0.22","0.56000000000000005","< 0.22","< 0.22","< 0.22","0.49","0.59","0.57999999999999996","0.34","0.55000000000000004","0.67","1.2","0.55000000000000004","0.76","0.35","< 0.22","0.76","1.7","1.8","3","0.68","2.1","1.8","0.84","4.3","2.8","0.89","5.6","0.26","0.31","0.65","0.27","0.65","1.7","0.83","2.5","< 0.22","0.24","< 0.22","0.23","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.65","4.7","< 0.22","1.2","5.4","0.71","40","51","< 0.23","4","0.57999999999999996","< 0.24","< 0.24","1.4","0.84","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","6.8",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,20170426,"2016 Blackmouth",86304,0.561,NA,141.588,9.723,-0.23631,0.15834,15.5193,-0.096809,0.068339,143.734,55.1262,-0.15142,0.76321,-19.0087,0.011031,0.0231
"89","16MA81-TM9845A","119-3855","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-03-19,2.002,38.9453621346886,20.269508778683,109,"2.2999999999999998","0.87","0.92","< 0.25","0.98","1.3","< 0.25","< 0.25","0.36","< 0.25","0.54","2.2999999999999998","< 0.25","1.9","< 0.25","< 0.25","0.56000000000000005","1.4","2","1.8","1.1000000000000001","2.1","2.6","5.0999999999999996","1.9","2.4","1.3","0.67","2.2000000000000002","6.8","7.7","12","2.6","9","6.7","3.1","18","12","3.5","21","0.9","1.7","2.1","0.96","2.2999999999999998","4.8","2.8","7.8","< 0.25","0.67","0.27","0.83","< 0.25","0.37","< 0.25","< 0.25","0.51","< 0.25","< 0.25","3","17","0.87","5.5","21","1.8","150","190","0.67","17","4.5999999999999996","0.33","< 0.27","4.4000000000000004","3.6","< 0.27","< 0.27","< 0.27","0.31","< 0.27","< 0.27","< 0.27","< 0.27","31",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,"ST3507","130-24905A","Fish","Tissue - muscle",NA,"Chinook salmon",2016-03-19,0.223,46.8526049889484,13.840841734289,3.38509795057308,-15.7076521464263,16.3803036988094,NA,NA,340,20170426,"2016 Blackmouth",86305,0.423,NA,79.271,7.2095,-0.23631,0.15834,16.4551,-0.096809,0.068339,122.901,62.5982,-0.15142,0.76321,-19.9716,0.011031,0.0231
"90","16MA81-TM9846A","119-3856","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-03-19,2.003,34.2665173572228,14.3732208077964,104,"2.1","< 0.28","0.65","< 0.29","0.78","0.77","< 0.28","< 0.28","0.33","< 0.29","0.32","1.5","< 0.28","1.6","< 0.29","< 0.29","< 0.28","0.68","1.1000000000000001","1","0.51","1.4","1.7","3.4","1.3","1.8","0.87","0.41","1.6","4.5999999999999996","4.7","7.6","1.7","5.4","4.2","1.8","9.9","6.9","2.2000000000000002","13","0.52","0.77","1.3","0.55000000000000004","1.4","3.1","1.7","5","< 0.29","0.53","< 0.29","1.6","< 0.29","< 0.28","< 0.29","< 0.29","< 0.29","< 0.29","< 0.28","1.8","8.8000000000000007","0.61","3.7","11","0.65","94","120","0.35","10","2.2999999999999998","< 0.31","< 0.30","3.6","2","< 0.30","< 0.30","< 0.30","< 0.30","< 0.30","< 0.30","< 0.30","< 0.30","19",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,20170426,"2016 Blackmouth",86309,0.491,NA,110.63,8.6759,-0.23631,0.15834,16.3669,-0.096809,0.068339,138.157,60.5609,-0.15142,0.76321,-19.0643,0.011031,0.0231
"91","16MA81-TM9847A","119-3857","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-03-19,2.014,26.897769218424,7.05947496476224,109,"1.4","< 0.21","0.3","< 0.21","0.68","0.51","< 0.21","< 0.21","< 0.21","< 0.21","0.22","0.99","< 0.21","1.2","< 0.21","< 0.21","0.22","0.56999999999999995","0.94","0.9","0.46","1.1000000000000001","1.2","2.4","0.97","1.3","0.61","0.28999999999999998","1","3","2.8","4.7","1","3.7","2.6","1.1000000000000001","5.5","3.9","1.2","7.2","0.31","0.42","0.67","0.32","0.78","1.8","0.95","2.8","< 0.21","0.23","< 0.21","0.24","< 0.21","< 0.21","< 0.21","< 0.21","< 0.21","< 0.21","< 0.21","1.4","5.8","0.55000000000000004","2.4","7.8","0.3","57","71","0.22","7.1","1.5","< 0.22","< 0.22","2.5","1.1000000000000001","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","12",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,"ST3507","130-24906A","Fish","Tissue - muscle",NA,"Chinook salmon",2016-03-19,0.276,46.3086563990743,13.9712185051033,3.31457534517544,-16.0351568919083,15.923268557281,NA,NA,342,20170426,"2016 Blackmouth",86310,0.494,NA,134.618,10.4972,-0.23631,0.15834,16.1089,-0.096809,0.068339,129.168,56.3091,-0.15142,0.76321,-18.3651,0.011031,0.0231
"93","16MA81-TM9853A","119-3858","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-03-19,2.005,35.6118292898884,17.6913982119789,97,"2.5","< 0.46","0.94","< 0.47","1.1000000000000001","1.1000000000000001","< 0.46","< 0.47","< 0.47","< 0.47","< 0.47","2","< 0.47","2.1","< 0.47","< 0.47","< 0.47","0.81","1.3","1.2","0.6","1.7","2.1","4","1.4","2","0.99","0.53","1.7","5.4","5.4","8.6","1.7","6.2","4.5","1.7","11","7.7","2.5","14","0.52","1","1.1000000000000001","0.56999999999999995","1.3","3","1.4","4.5","< 0.47","< 0.47","< 0.47","< 0.47","< 0.47","< 0.47","< 0.47","< 0.47","< 0.47","< 0.47","< 0.47","2.2999999999999998","11","0.78","4.0999999999999996","14","0.94","100","130","< 0.50","11","2.5","< 0.51","< 0.50","3.8","2.2000000000000002","< 0.50","< 0.50","< 0.50","< 0.50","< 0.50","< 0.50","< 0.50","< 0.50","20",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,20170426,"2016 Blackmouth",86312,0.524,NA,115.986,8.5239,-0.23631,0.15834,16.1885,-0.096809,0.068339,147.075,60.3797,-0.15142,0.76321,-19.3836,0.011031,0.0231
"95","16MA81-TM9856A","119-3859","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-03-19,2.003,25.8464223385689,6.32900239804228,107,"1.2","< 0.19","0.31","< 0.19","0.63","0.57999999999999996","0.2","< 0.19","< 0.19","< 0.19","< 0.19","1.2","< 0.19","0.79","< 0.19","< 0.19","0.2","0.51","0.8","0.76","0.41","0.9","1.2","2","0.99","1.4","0.64","0.3","1.2","3","3.5","5.3","1.4","4","3.6","1.7","8.9","5.2","1.7","12","0.54","0.7","1.3","0.57999999999999996","1.4","3.5","1.7","4.9000000000000004","< 0.19","0.54","0.19","0.66","< 0.19","0.28000000000000003","< 0.19","< 0.19","0.26","< 0.19","< 0.19","1.3","7.3","0.59","2.6","9.4","0.31","77","100","0.32","10","1.6","0.28999999999999998","< 0.20","4.5999999999999996","2.2999999999999998","< 0.20","< 0.20","0.33","0.4","< 0.21","< 0.21","< 0.21","< 0.21","20",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,20170426,"2016 Blackmouth",86314,0.57,NA,157.228,10.6284,-0.23631,0.15834,16.0285,-0.096809,0.068339,148.313,55.9705,-0.15142,0.76321,-18.0115,0.011031,0.0231
"96","16MA81-TM9863A","119-3860","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-03-19,2.005,28.9880534082923,8.1524471971896,109,"1.4","< 0.18","0.35","< 0.18","0.64","0.49","< 0.18","< 0.18","0.22","< 0.18","0.26","0.97","< 0.18","1","< 0.18","< 0.18","0.21","0.53","0.87","0.8","0.45","0.91","1","2.1","0.87","1.2","0.56000000000000005","0.27","0.94","2.6","2.5","4.0999999999999996","0.91","3.2","2.4","0.97","5.0999999999999996","3.5","1.1000000000000001","6.6","0.28999999999999998","0.39","0.68","0.3","0.7","1.6","0.84","2.4","< 0.18","0.19","< 0.18","0.21","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","1.4","6.2","0.57999999999999996","2.6","8.1999999999999993","0.35","51","64","0.23","6.4","1.3","< 0.19","< 0.19","2.4","1.2","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","12",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,20170426,"2016 Blackmouth",86315,0.527,NA,141.498,10.3437,-0.23631,0.15834,15.797,-0.096809,0.068339,139.864,57.1153,-0.15142,0.76321,-18.3914,0.011031,0.0231
"97","16MA81-TM9864A","119-3861","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-03-19,2.011,26.9828553116487,6.82861942356889,107,"1.1000000000000001","< 0.21","0.35","< 0.21","0.59","0.67","< 0.21","< 0.21","< 0.21","< 0.21","< 0.21","1.3","< 0.21","0.84","< 0.21","< 0.21","0.27","0.66","0.99","0.89","0.53","0.99","1.3","2.2999999999999998","1","1.4","0.66","0.28999999999999998","1.1000000000000001","3.2","3.7","5.5","1.4","4.2","3.5","1.7","8.5","4.9000000000000004","1.7","11","0.48","0.64","1.1000000000000001","0.5","1.3","2.9","1.5","4.4000000000000004","< 0.21","0.41","< 0.21","0.48","< 0.21","0.24","< 0.21","< 0.21","< 0.21","< 0.21","< 0.21","1.4","8.1","0.61","2.5","10","0.35","76","97","0.28000000000000003","9.4","1.7","< 0.23","< 0.22","3.8","1.9","< 0.22","< 0.22","< 0.22","0.34","< 0.23","< 0.23","< 0.23","< 0.23","17",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,20170426,"2016 Blackmouth",86316,0.497,NA,136.297,10.5642,-0.23631,0.15834,16.0378,-0.096809,0.068339,129.253,56.0058,-0.15142,0.76321,-18.0964,0.011031,0.0231
"98","16MA82-TM4428A","119-3862","PS3492","Tissue - muscle",NA,"Blackmouth chinook",2016-11-05,2.003,32.8672566371681,12.6217614412642,108,"1.2","0.49","0.61","< 0.18","0.51","0.42","< 0.18","< 0.18","0.2","< 0.18","0.19","0.9","< 0.18","0.77","< 0.18","< 0.18","0.21","0.55000000000000004","0.7","0.73","0.44","0.62","0.69","1.3","0.65","0.87","0.43","< 0.18","0.71","1.8","1.9","3","0.73","2.2000000000000002","1.9","0.7","4.2","2.6","0.82","5.2","0.23","0.31","0.52","0.22","0.53","1.3","0.56999999999999995","1.8","< 0.18","0.2","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","0.95","6.7","0.31","2.2000000000000002","7.9","1.1000000000000001","39","49","< 0.19","5","1","< 0.19","< 0.19","2","1.2","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","9.1999999999999993",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,20170503,"2016 Blackmouth",86330,0.514,NA,124.32,9.6457,-0.37133,0.70807,15.7999,-0.050682,0.19503,140.316,59.3725,-0.58982,2.698,-20.0076,0.05239,0.085674
"147",NA,"119-3863","PS3492","SRM 1947",NA,NA,NA,1.026,27.5435133680244,10.4902597068125,107,"6.3","1.2","< 0.42","< 0.42","44","67","12","< 0.42","13","9.6999999999999993","24","120","< 0.42","73","5.4","< 0.42","0.83","3.1","14","11","0.99","21","27","37","72","58","33","3.4","31","35","79","95","64","100","110","47","220","75","20","240","18","16","40","12","28","91","33","82","1.7","17","5.4","22","1.1000000000000001","8.5","3.7","2.8","4.7","4.0999999999999996","19","39","770","60","300","890","1.2","1800","2200","3.1","91","7.8","3.3","< 0.44","27","23","< 0.44","< 0.44","5.4","8.4","< 0.45","0.55000000000000004","< 0.45","< 0.45","170",NA,NA,"PS16BlkChnA",2017-04-25,2017-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
